index,image,caption,Text Retrieval,Image Retrieval,Both image-text retrieval,True Pair Score,False Pair Score,RoBERTa Likelihood,AMR Length,No. of Obj-Relations,Nouns,Verbs,Adjectives
282,141/0.jpg,there are more computers than people,False,False,False,0.034,0.040,40.425,5,15,"dog, sweater",wearing,"brown, black"
657,328/1.jpg,the person who isn't wearing a sweater stands in front of the person wearing a sweater,False,True,False,0.021,0.019,39.395,7,0,"apple, bunch, apples",surrounded,"green, red"
656,328/0.jpg,the person wearing a sweater stands in front of the person who isn't wearing a sweater,True,False,False,0.038,0.035,39.484,7,0,"apple, bunch, apples",surrounded,"red, green"
681,340/1.jpg,a jumping person wearing yellow and a person wearing stripes,False,True,False,0.009,0.009,35.733,5,13,"person, white, book","is, reading",orange
680,340/0.jpg,a person wearing yellow and a person wearing stripes jumping,True,False,False,0.011,0.012,36.699,5,7,"person, orange, book","is, reading",white
791,395/1.jpg,They have hair over their sunglasses,False,True,False,0.020,0.020,36.460,5,12,"children, adult","are, being, is","quiet, loud"
790,395/0.jpg,They have sunglasses over their hair,True,False,False,0.020,0.022,37.099,5,4,"children, adult","are, being, is","loud, quiet"
565,282/1.jpg,the square shape is beneath the triangular one,True,True,True,0.029,0.025,37.387,9,2,"mirror, left, mirror, right","is, is","circular, rectangular"
564,282/0.jpg,the triangular shape is beneath the square one,False,False,False,0.027,0.025,37.253,9,6,"mirror, left, mirror, right","is, is","rectangular, circular"
665,332/1.jpg,a dog is touching a mouse,True,True,True,0.011,0.019,36.435,5,16,"food, heart, wood",shaped,circular
664,332/0.jpg,a mouse is touching a dog,False,False,False,0.027,0.024,33.343,5,5,"heart, food, wood",shaped,circular
232,116/0.jpg,the children are being quiet while the adult is loud,True,True,True,0.023,0.022,36.996,7,1,"dress, left, dress, right","is, is","long, short"
233,116/1.jpg,the children are being loud while the adult is quiet,False,False,False,0.019,0.019,37.005,7,4,"dress, left, dress, right","is, is","short, long"
478,239/0.png,the object at the top left is purple and the one at the bottom right of the group is red,True,False,False,0.011,0.011,35.774,11,14,"balloon, middle, air, balloons, air","has, have","less, other, more"
479,239/1.jpg,the object at the bottom right is purple and the one at the top left of the group is red,False,True,False,0.010,0.011,36.023,11,13,"balloon, middle, air, balloons, air","has, have","more, other, less"
102,51/0.jpg,a person is in the water and close to the sand,True,True,True,0.011,0.011,33.754,11,2,"pool, people, area, lot, people","has, has",
103,51/1.jpg,a person is close to the water and in the sand,False,False,False,0.023,0.024,35.052,11,3,"pool, lot, people, area, people","has, has",
378,189/0.jpg,they worked out then they drank water,True,True,True,0.021,0.021,37.619,5,8,"fish, person",,"big, small"
379,189/1.jpg,they drank water then they worked out,False,False,False,0.026,0.021,39.631,5,19,"fish, person",,"small, big"
303,151/1.jpg,display the dress,False,True,False,0.029,0.025,34.682,6,12,"train, person","is, moving, is",
302,151/0.jpg,dress the display,True,False,False,0.018,0.013,32.762,7,7,"train, person","is, is, moving",
223,111/1.jpg,there are more gold coins than silver coins,True,True,True,0.023,0.024,36.291,6,5,"water, day","'re, enjoying","hot, cold"
222,111/0.jpg,there are more silver coins than gold coins,False,False,False,0.017,0.018,36.523,6,14,"water, day","'re, enjoying","cold, hot"
267,133/1.jpg,there is a banana split,True,True,True,0.024,0.026,43.593,4,1,"floors, wood, walls",,concrete
266,133/0.jpg,there is a split banana,False,False,False,0.025,0.025,43.589,4,0,"wood, floors, concrete, walls",,
24,12/0.jpg,the image shows a computer on top of books,True,True,True,0.019,0.019,36.069,11,15,"person, left, hair, person, right, hair","has, has","curly, straight"
25,12/1.jpg,the image shows books on top of a computer,False,False,False,0.026,0.026,36.119,11,20,"person, left, hair, person, right, hair","has, has","straight, curly"
553,276/1.jpg,the younger person is silent while the other is making noise,False,True,False,0.012,0.017,36.638,5,5,"metal, bottle, lid",'s,plastic
552,276/0.jpg,the younger person is making noise while the other is silent,True,False,False,0.030,0.031,36.933,5,0,"bottle, metal, lid",'s,plastic
54,27/0.jpg,the person with the ponytail packs stuff and other buys it,True,True,True,0.019,0.019,37.985,6,2,"fruit, junk, food","is, is","heavy, light"
55,27/1.jpg,the person with the ponytail buys stuff and other packs it,False,False,False,0.020,0.020,38.154,6,0,"fruit, junk, food","is, is","light, heavy"
575,287/1.jpg,a group of two people with longer hair and three with short hair in a business context,True,True,True,0.021,0.023,35.272,10,15,"car, person, rightside","is, sitting, is, standing",
574,287/0.jpg,a group of three people with longer hair and two with short hair in a business context,False,False,False,0.026,0.026,35.107,10,13,"car, rightside, person","is, sitting, is, standing",
447,223/1.jpg,the ones on the side are taller than the one in the middle is,True,True,True,0.020,0.018,36.558,11,6,"cup, left, cup, right","is, filled, is, filled",second
446,223/0.jpg,the one in the middle is taller than the ones on the side are,False,False,False,0.011,0.010,36.120,9,7,"cup, left, cup, right","is, filled, is, filled",
51,25/1.jpg,the person with the white collared shirt holds the plant while the other waters it,True,False,False,0.025,0.024,48.398,2,5,"milk, cow",,
50,25/0.jpg,the person with the white collared shirt waters the plant while the other holds it,False,True,False,0.027,0.018,45.343,2,10,"cow, milk",,
351,175/1.jpg,child pointing at parent,True,False,False,0.016,0.018,36.466,2,12,"clock, wall",is,
350,175/0.jpg,parent pointing at child,False,True,False,0.025,0.024,36.769,2,8,"wall, clock",is,
201,100/1.jpg,the upset one is on the left and the happy one is on the right,True,True,True,0.017,0.016,35.335,2,0,banana,is,split
200,100/0.jpg,the happy one is on the left and the upset one is on the right,False,False,False,-0.006,-0.008,38.273,2,2,"banana, split",is,
123,61/1.jpg,there are two people and three windows,True,True,True,0.010,0.009,37.488,5,26,"people, bunch, horses",are,
122,61/0.jpg,there are three people and two windows,False,False,False,0.013,0.012,37.166,5,7,"bunch, people, horses",are,
700,350/0.jpg,one ear that some donkey is whispering a secret into,False,True,False,0.027,0.028,41.459,7,9,eggs,,"white, brown"
701,350/1.jpg,donkey ear that some one is whispering a secret into,True,False,False,0.023,0.023,41.038,7,5,eggs,,"white, brown"
797,398/1.jpg,racing it over,False,True,False,0.016,0.016,36.279,2,8,"plastic, fish",is,
796,398/0.jpg,racing over it,True,False,False,0.018,0.019,34.825,2,13,"fish, plastic",is,
548,274/0.png,space in a star,True,True,True,0.029,0.028,37.066,5,28,"dog's, paw, cat's, face",is,
549,274/1.jpg,a star in space,False,False,False,0.021,0.008,36.970,5,28,"cat's, paw, dog's, face",is,
643,321/1.jpg,someone pets a baby,True,True,True,0.017,0.019,37.519,7,19,"computer, screen, phone, screen","is, is",
642,321/0.jpg,someone babys a pet,False,False,False,0.022,0.019,37.800,7,11,"phone, screen, computer, screen","is, is",
767,383/1.jpg,at least one toy herbivore stands on top of a toy carnivore,True,True,True,0.020,0.021,35.143,10,20,"dog, driver, seat, person, passenger, seat","is, is",
766,383/0.jpg,a toy herbivore stands on top of at least one toy carnivore,False,False,False,0.017,0.020,35.320,9,27,"dog, passenger, seat, person, driver, seat","is, is",
638,319/0.jpg,human head on pet,True,False,False,0.023,0.022,41.364,4,9,"trees, people",are,more
639,319/1.jpg,pet head on human,False,True,False,0.021,0.025,39.708,4,3,"people, trees",are,more
90,45/0.jpg,a cold drink on a hot day,True,True,True,0.012,0.012,41.141,5,4,"computers, people",are,more
91,45/1.jpg,a hot drink on a cold day,False,False,False,0.010,0.022,39.664,4,6,"people, computers",are,more
583,291/1.jpg,physical therapist inspecting pink elastic therapeutic kinesio tape over blue,True,True,True,0.025,0.025,40.493,4,0,"wood, metal",is,more
582,291/0.jpg,physical therapist inspecting blue elastic therapeutic kinesio tape over pink,False,False,False,0.025,0.026,40.808,4,2,"metal, wood",is,more
795,397/1.jpg,a large non-living thing in front of a large living thing,True,True,True,0.021,0.022,39.174,4,17,"hats, people",are,more
794,397/0.jpg,a large living thing in front of a large non-living thing,False,False,False,0.018,0.016,37.461,4,16,"people, hats",are,more
53,26/1.jpg,the taller person eats food and the shorter person chops food,True,True,True,0.019,0.018,38.927,4,17,"people, stools",are,more
52,26/0.jpg,the taller person chops food and the shorter person eats food,False,False,False,0.013,0.011,40.140,4,10,"stools, people",are,more
306,153/0.jpg,books holding up a person,False,True,False,0.033,0.034,38.146,6,9,"wine, wine",is,"more, red, white"
307,153/1.jpg,a person holding up books,True,False,False,0.022,0.022,37.976,6,3,"wine, wine",is,"more, white, red"
466,233/0.jpg,a human being on a device that intercepts the sun's rays,False,True,False,0.023,0.021,38.884,4,4,"milk, coffee",'s,more
467,233/1.jpg,a device that intercepts the sun's rays on a human being,True,False,False,0.023,0.023,38.893,4,3,"coffee, milk",'s,more
269,134/1.jpg,there are a bunch of people and two horses,True,True,True,0.019,0.019,37.539,5,3,"cereal, bowl, milk",'s,more
268,134/0.jpg,there are two people and a bunch of horses,False,False,False,0.022,0.022,37.078,5,12,"milk, bowl, cereal",'s,more
531,265/1.jpg,there are more boxes than pineapples,True,True,True,0.009,0.008,46.366,2,3,"boat, sail",,
530,265/0.jpg,there are more pineapples than boxes,False,False,False,0.019,0.019,45.196,2,3,"sail, boat",,
741,370/1.jpg,one sparkler for two hands,True,True,True,0.011,0.011,55.217,2,3,"boat, house",,
740,370/0.jpg,two sparklers for one hand,False,False,False,0.011,0.011,47.542,2,7,"house, boat",,
429,214/1.jpg,a person consoles while another person wearing jewelry above their shoulders cries,True,True,True,0.017,0.021,39.296,4,4,rip,check,
428,214/0.jpg,a person cries while another person wearing jewelry above their shoulders consoles,False,False,False,0.027,0.032,41.476,4,2,check,rip,
517,258/1.jpg,the shelves on the person's right are full and the shopping basket is empty,True,True,True,0.018,0.019,35.213,2,10,display,dress,
516,258/0.jpg,the shopping basket is full and the shelves on the person's right are empty,False,False,False,0.021,0.022,38.482,4,3,dress,display,
456,228/0.jpg,a cat viewing a human on a screen,True,True,True,0.027,0.025,41.399,3,2,"spoon, honey",holding,
457,228/1.jpg,a human viewing a cat on a screen,False,False,False,0.022,0.026,36.226,3,2,"honey, holding, spoon",,
100,50/0.jpg,the person with green legs is running quite slowly and the red legged one runs faster,False,True,False,0.023,0.023,38.309,3,16,"books, person",holding,
101,50/1.jpg,the person with green legs is running faster and the red legged one runs quite slowly,False,False,False,0.019,0.021,41.435,3,10,"person, books",holding,
749,374/1.jpg,two people wearing clothes of different colors are on the same side of the tennis net,True,True,True,0.013,0.014,35.231,5,5,"dog, wheelchair, person","is, using",
748,374/0.jpg,two people wearing clothes of the same colors are on different side of the tennis net,False,False,False,0.030,0.030,35.569,5,15,"person, wheelchair, dog","is, using",
142,71/0.jpg,the person wearing neutral colors poses and the person wearing brighter colors takes a picture,True,True,True,0.034,0.030,39.834,5,7,"plants, lightbulb",surrounding,
143,71/1.jpg,the person wearing brighter colors poses and the person wearing neutral colors takes a picture,False,False,False,0.020,0.020,40.867,5,1,"lightbulb, plants",surrounding,
736,368/0.jpg,a person is touching the head of a squirrel,True,True,True,0.020,0.020,33.653,11,26,"dog, toy, dog","is, holding","colored, black"
737,368/1.jpg,a squirrel is touching the head of a person,False,False,False,0.010,0.010,34.622,11,22,"dog, toy, dog","is, holding, colored",black
410,205/0.jpg,"four lions, no tigers",True,True,True,0.025,0.026,39.091,5,15,"flowers, people",are,taller
411,205/1.jpg,"no lions, four tigers",False,False,False,0.030,0.024,38.561,5,13,"people, flowers",are,taller
695,347/1.jpg,A left hand pulls a glove onto a right hand,True,True,True,0.025,0.024,37.122,4,18,"human, stroller, dog",'s,
694,347/0.jpg,A right hand pulls a glove onto a left hand,False,False,False,0.035,0.035,36.764,4,2,"dog, stroller, human",'s,
541,270/1.jpg,the dog stands and the cat sits,True,True,True,0.010,0.019,34.094,5,4,"person, shadow, ball","is, casting",
540,270/0.jpg,the dog sits and the cat stands,False,False,False,0.022,0.022,34.224,5,2,"ball, shadow, person","is, casting",
113,56/1.jpg,jumping towards the photographer and away from the others,True,True,True,0.025,0.019,39.140,8,1,"tail, body",is,shorter
112,56/0.jpg,jumping away from the photographer and towards the others,False,False,False,0.028,0.026,38.478,8,9,"body, tail",is,shorter
218,109/0.jpg,blue pants and green top,True,True,True,0.026,0.023,37.491,4,17,"child, adult, ball","is, throwing",
219,109/1.jpg,green pants and blue top,False,False,False,0.016,0.018,38.518,4,11,"adult, child, ball","is, throwing",
501,250/1.jpg,more hugs than kisses,True,True,True,0.024,0.031,39.140,3,10,"person, lights",,
500,250/0.jpg,more kisses than hugs,False,False,False,0.020,0.020,42.497,3,10,"lights, person",,
67,33/1.jpg,the round table has a square base,True,True,True,0.018,0.019,36.476,3,7,"green, ball",,
66,33/0.jpg,the square table has a round base,False,False,False,0.026,0.022,36.634,3,0,"ball, green",,
539,269/1.jpg,the text is white on black,True,True,True,0.017,0.020,42.129,2,14,clouds,mind,
538,269/0.jpg,the text is black on white,False,False,False,0.011,0.010,41.260,2,1,"clouds, mind",,
734,367/0.jpg,the glasses full of water are above the person's head and leg,False,True,False,0.025,0.025,33.992,2,1,"phone, map",'s,
735,367/1.jpg,the person's head and leg are above the glasses full of water,True,False,False,0.019,0.022,32.420,2,3,"map, phone",'s,
725,362/1.jpg,a nicely landscaped lawn above a modern office complex with many windows,True,True,True,0.029,0.030,36.735,5,25,"person, rock, dog",,
724,362/0.jpg,a modern office complex with many windows above a nicely landscaped lawn,False,False,False,0.015,0.023,37.257,4,15,"dog, rock, person",,
265,132/1.jpg,there is a wall clock,False,True,False,0.018,0.024,34.694,4,10,"adult, child","is, flexing",
264,132/0.jpg,there is a clock wall,True,False,False,0.018,0.018,34.056,4,22,"child, adult","is, flexing",
706,353/0.jpg,A child riding a bike and an adult,True,False,False,0.020,0.019,37.864,3,26,"person, dog","is, looking",
707,353/1.jpg,A child and an adult riding a bike,False,True,False,0.025,0.022,37.323,3,26,"dog, person","is, looking",
357,178/1.jpg,a child kisses an adult,True,True,True,0.029,0.029,38.912,4,18,"cat, blanket",is,red
356,178/0.jpg,an adult kisses a child,False,False,False,0.027,0.031,35.541,4,25,"blanket, cat",is,red
529,264/1.jpg,there are less masks than gloves,False,True,False,0.018,0.021,40.267,5,8,"person, house",is,bigger
528,264/0.jpg,there are less gloves than masks,True,False,False,0.015,0.016,39.728,5,23,"house, person",is,bigger
10,5/0.jpg,a bird eats a snake,True,True,True,0.029,0.022,39.448,4,10,"person, car",is,
11,5/1.jpg,a snake eats a bird,False,False,False,0.014,0.019,39.952,4,18,"car, person",is,
310,155/0.jpg,some plants surrounding a lightbulb,True,True,True,0.019,0.020,39.163,3,0,"water, plastic","is, filled",
311,155/1.jpg,a lightbulb surrounding some plants,False,False,False,0.020,0.020,38.524,3,0,"plastic, water","is, filled",
37,18/1.jpg,there is less milk than orange juice,True,True,True,0.017,0.022,32.509,2,5,"apple, target",is,
36,18/0.jpg,there is less orange juice than milk,False,False,False,0.020,0.020,28.269,4,2,"target, apple",is,
125,62/1.png,there are 5 stars on the right flag and 50 stars on the left flag,True,True,True,0.016,0.020,39.699,4,3,"plant, light, bulb",made,
124,62/0.png,there are 50 stars on the right flag and 5 stars on the left flag,False,False,False,0.017,0.016,38.290,4,12,"light, bulb, plant",made,
770,385/0.jpg,a person smiles at another person wearing a checked shirt who is hitting a ping pong ball,True,True,True,0.020,0.017,44.470,7,11,"parent, child",pointing,
771,385/1.jpg,a person wearing a checked shirt smiles at another person who is hitting a ping pong ball,False,False,False,0.041,0.041,44.388,6,20,"child, parent",pointing,
255,127/1.jpg,there's a plastic bottle with a metal lid,True,False,False,0.025,0.023,35.321,5,15,"person, base, ball",reached,
254,127/0.jpg,there's a metal bottle with a plastic lid,False,True,False,0.014,0.014,35.028,5,15,"ball, base, person",reached,
82,41/0.jpg,the orange lollipop is sad and the red lollipop is surprised,True,True,True,0.012,0.010,35.543,4,2,"ice, top, fish","being, dumped",
83,41/1.jpg,the orange lollipop is surprised and the red lollipop is sad,False,False,False,0.021,0.018,37.936,4,4,"fish, top, ice","being, dumped",
141,70/1.jpg,the person with the darker shoes is holding an emoji and the person with the lighter shoes isn't,True,True,True,0.022,0.022,42.201,3,14,"adult, child",kisses,
140,70/0.jpg,the person with the lighter shoes is holding an emoji and the person with the darker shoes isn't,False,False,False,0.022,0.022,40.295,3,12,"child, adult",kisses,
524,262/0.jpg,I had cleaned my car,True,True,True,0.013,0.012,34.522,6,37,"dog, mask, person",'s,
525,262/1.jpg,I had my car cleaned,False,False,False,0.021,0.021,34.723,6,40,"dog, person, mask",'s,
120,60/0.jpg,someone has loaded their plate with one of the toast slices and two of the eggs,True,True,True,0.015,0.013,35.856,5,13,"baby, phone, adult",is,
121,60/1.jpg,someone has loaded their plate with two of the toast slices and one of the eggs,False,False,False,0.010,0.011,34.621,5,17,"baby, adult, phone",is,
161,80/1.jpg,the pot is larger than the watering can,False,True,False,0.006,0.007,35.779,13,17,"person, left, arms, person, right, arms","has, has",
160,80/0.jpg,the watering can is larger than the pot,True,False,False,0.018,0.020,35.764,13,7,"person, right, arms, person, left, arms","has, has",
662,331/0.jpg,soon this animal not with a tail will have one,False,True,False,0.019,0.024,36.102,9,7,"person, left, phone, person, right","is, holding, is, staring",
663,331/1.jpg,soon this animal with a tail will not have one,True,False,False,0.026,0.021,36.078,9,30,"person, right, phone, person, left","is, holding, is, staring",
28,14/0.jpg,there is a mug in some grass,False,True,False,0.022,0.026,36.400,7,3,"orange, left, orange, right","is, is","moldy, fresh"
29,14/1.jpg,there is some grass in a mug,True,False,False,0.018,0.021,36.384,7,6,"orange, right, orange, left","is, is","moldy, fresh"
287,143/1.jpg,there are more people than hats,False,True,False,0.019,0.019,37.111,8,7,"scoop, ice, cream, top, scoop, bottom",,"pink, blue"
286,143/0.jpg,there are more hats than people,True,False,False,0.024,0.025,37.415,8,5,"scoop, ice, cream, bottom, scoop, top",,"pink, blue"
547,273/1.jpg,a person in a brown-ish coat with a blue coffee cup,True,False,False,0.017,0.019,37.053,8,5,"glasses, right, glasses, left",are,fuller
546,273/0.jpg,a person in a blue coat with a brown-ish coffee cup,False,True,False,0.024,0.028,37.096,7,1,"glasses, left, glasses, right",are,fuller
367,183/1.jpg,the orange on the right is moldy while the orange on the left is fresh,True,False,False,0.018,0.022,35.949,9,23,"person, left, bubbles, person, right","is, blowing, is, watching",
366,183/0.jpg,the orange on the left is moldy while the orange on the right is fresh,False,True,False,0.022,0.023,35.952,8,16,"person, right, bubbles, person, left","is, blowing, is, watching",
471,235/1.jpg,a tube is in the person,True,True,True,0.016,0.017,36.773,6,4,"foam, left, right",'s,more
470,235/0.jpg,a person is in the tube,False,False,False,0.013,0.018,36.597,6,8,"foam, right, left",'s,more
675,337/1.jpg,yellow duck on shoes,False,True,False,0.025,0.028,37.445,4,2,"fish, right","is, jumping",left
674,337/0.jpg,yellow duck shoes on,True,False,False,0.027,0.027,37.680,4,1,"fish, right, left","is, jumping",
784,392/0.jpg,A person seen from above has a grid below them,False,True,False,0.029,0.028,37.715,7,5,water,"worked, drank",
785,392/1.jpg,A person seen from below has a grid above them,True,False,False,0.025,0.021,36.759,7,19,water,"drank, worked",
417,208/1.jpg,black land and white water,True,False,False,0.020,0.022,36.381,5,24,"shrimp, shrimp","are, peeled, are, cooked",
416,208/0.jpg,white land and black water,False,True,False,0.017,0.019,36.236,5,7,"shrimp, shrimp","are, cooked, are, peeled",
130,65/0.jpg,the animal's eyes are bigger than the person's,True,True,True,0.028,0.027,36.470,5,0,"coffee, ground","is, poured, is",
131,65/1.jpg,the person's eyes are bigger than the animal's,False,False,False,0.031,0.030,35.087,5,4,"ground, coffee","is, is, poured",
712,356/0.jpg,a fencer who is wearing black pants having a point scored against them by another fencer using a wheelchair,True,False,False,0.020,0.016,36.968,6,0,potato,"is, washed, is, cut",
713,356/1.jpg,a fencer having a point scored against them by another fencer who is wearing black pants using a wheelchair,False,True,False,0.023,0.024,36.768,6,1,potato,"is, cut, is, washed",
285,142/1.jpg,there is more metal than wood,True,True,True,0.024,0.024,38.197,5,3,banana,"is, peeled, is, sliced",
284,142/0.jpg,there is more wood than metal,False,False,False,0.026,0.026,37.832,5,0,banana,"is, sliced, is, peeled",
119,59/1.jpg,there are two bananas and three apples,True,True,True,0.017,0.021,37.939,5,6,"dog, person","is, swimming, is, standing",
118,59/0.jpg,there are three bananas and two apples,False,False,False,0.013,0.015,37.276,5,6,"dog, person","is, standing, is, swimming",
715,357/1.jpg,a person without braids is exercising in front of a person with long braids,True,True,True,0.026,0.031,36.442,5,17,"person, cat","is, jumping, is, sitting",
714,357/0.jpg,a person with long braids is exercising in front of a person without braids,False,False,False,0.015,0.016,37.378,5,9,"person, cat","is, sitting, is, jumping",
4,2/0.jpg,the masked wrestler hits the unmasked wrestler,False,True,False,0.024,0.022,35.188,5,16,"cat, person","is, lying, is, stretching",
5,2/1.jpg,the unmasked wrestler hits the masked wrestler,True,False,False,0.014,0.024,35.693,5,13,"cat, person","is, stretching, is, lying",
358,179/0.jpg,there's a dog in a mask and a person beside it,False,True,False,0.009,0.018,39.835,7,12,people,"are, standing, are, sitting",more
359,179/1.jpg,there's a dog and a person in a mask beside it,True,False,False,0.018,0.014,39.632,7,17,people,"are, sitting, are, standing",more
59,29/1.jpg,a white dog is on a brown couch,False,True,False,0.024,0.025,37.646,7,11,"kid, pancake, adult","throws, sees",
58,29/0.jpg,a brown dog is on a white couch,True,False,False,0.014,0.012,37.017,7,12,"kids, pancake, adult","see, throws",
699,349/1.jpg,A dog whispering into a person's ear,True,True,True,0.009,0.012,43.291,5,1,"painting, walls",,"gray, white"
698,349/0.jpg,A person whispering into a dog's ear,False,False,False,0.030,0.025,41.846,4,14,walls,painting,"white, gray"
588,294/0.jpg,the sea is rough but the rocks are smooth,True,True,True,38.036,13,29,"person, standing, person",wearing,"shorter, blue, taller",,
589,294/1.jpg,the sea is smooth but the rocks are rough,False,False,False,37.989,13,15,"person, standing, person",wearing,"taller, blue, shorter",,
274,137/0.jpg,the dog's paw is on the cat's face,True,True,True,33.267,15,3,"person, bear, mask, blue, hand, side, person, panda, mask, glasses","wearing, wearing","left, pink",,
275,137/1.jpg,the cat's paw is on the dog's face,False,False,False,33.421,14,14,"person, panda, mask, glasses, blue, hand, side, person, bear, mask","wearing, wearing","left, pink",,
88,44/0.jpg,the heavy oncoming traffic is contrasted with the light outgoing traffic,True,True,True,35.645,4,0,"car, box",containing,many,,
89,44/1.jpg,the light oncoming traffic is contrasted with the heavy outgoing traffic,False,False,False,36.496,4,0,"box, car",containing,many,,
288,144/0.jpg,there are more people than stools,False,True,False,40.829,5,1,,"left, is, is","red, right, blue",,
289,144/1.jpg,there are more stools than people,True,False,False,41.085,5,0,,"left, is, is","blue, right, red",,
167,83/1.jpg,a diagram showing movement from left to right,True,True,True,32.381,8,0,"table, tennis, racket, ball",,many,,
166,83/0.jpg,a diagram showing movement from right to left,False,False,False,33.008,8,5,"table, tennis, racket, ball",,many,,
543,271/1.jpg,the person with facial hair runs and the other person cycles,True,True,True,42.919,5,4,"lions, tigers",,,,
542,271/0.jpg,the person with facial hair cycles and the other person runs,False,False,False,41.996,5,2,"lions, tigers",,,,
30,15/0.jpg,there are more skiers than snowboarders,True,False,False,38.210,9,0,"object, object",is,"small, spherical, heavier, big, spherical",,
31,15/1.jpg,there are more snowboarders than skiers,False,True,False,38.573,9,0,"object, object",is,"big, spherical, heavier, small, spherical",,
256,128/0.jpg,the fruit is heavy while the junk food is light,True,True,True,40.216,5,15,"person, person",blocking,"older, younger",,
257,128/1.jpg,the fruit is light while the junk food is heavy,False,False,False,39.938,9,12,"person, person",blocking,"younger, older",,
81,40/1.jpg,the less content person has the healthier food and the more content person has the less healthy food,True,True,True,43.186,5,0,"land, water",,"white, black",,
80,40/0.jpg,the more content person has the healthier food and the less content person has the less healthy food,False,False,False,43.027,5,0,"land, water",,"black, white",,
206,103/0.jpg,the lion is loud and the lionness is quiet,True,True,True,31.935,9,0,"cube, shape, faces, vertex","is, meet","smaller, lateral",,
207,103/1.jpg,the lion is quiet and the lionness is loud,False,False,False,32.432,9,0,"shape, faces, vertex, cube","meet, is","lateral, smaller",,
104,52/0.jpg,a frog is above rocks which are under the water,False,True,False,46.372,4,25,"bicycles, cars",,more,,
105,52/1.jpg,a frog is under rocks which are above the water,True,False,False,46.660,4,21,"cars, bicycles",,more,,
502,251/0.jpg,an inflatable flamingo on a person,True,True,True,41.491,4,4,"apples, pears",are,more,,
503,251/1.jpg,a person on an inflatable flamingo,False,False,False,41.616,4,8,"pears, apples",are,more,,
294,147/0.jpg,there's more cereal in the bowl than milk,True,False,False,41.547,4,18,"love, hate",is,more,,
295,147/1.jpg,there's more milk in the bowl than cereal,False,True,False,42.269,4,19,"hate, love",is,more,,
482,241/0.jpg,seat numbers increasing from left to right,True,True,True,45.887,4,3,"water, oil",,more,,
483,241/1.jpg,seat numbers increasing from right to left,False,False,False,46.840,4,1,"oil, water",,more,,
405,202/1.jpg,a box containing many a car,True,True,True,30.074,11,12,"person, person, jewelry, shoulders, consoles","cries, wearing",,,
404,202/0.jpg,a car containing many a box,False,False,False,33.614,10,19,"person, consoles, person, jewelry, shoulders","wearing, cries",,,
398,199/0.jpg,painting gray walls white,True,False,False,34.116,14,13,"person, hair, meat, product, person, hair, snacks, fries","eating, based","long, short",,
399,199/1.jpg,painting white walls gray,False,True,False,34.162,16,15,"person, hair, meat, product, person, hair, snacks, fries","eating, based","short, long",,
441,220/1.jpg,a line within the shadow,False,True,False,42.512,3,0,"water, boat",,,,
440,220/0.jpg,a shadow within the line,True,False,False,40.810,3,3,"boat, water",,,,
507,253/1.jpg,a large white inflatable flamingo along with some other lilos on the water including one that is mostly pink,True,False,False,37.966,8,22,"one, front, one",is,"faster, other",,
506,253/0.jpg,a large pink inflatable flamingo along with some other lilos on the water including one that is mostly white,False,True,False,38.000,7,1,"one, one, front",is,"other, faster",,
372,186/0.jpg,the person on the left is blowing bubbles and the person on the right is watching,True,True,True,37.110,12,20,"flies, honey, vinegar",catch,more,,
373,186/1.jpg,the person on the right is blowing bubbles and the person on the left is watching,False,False,False,37.279,12,7,"flies, vinegar, honey",catch,more,,
719,359/1.jpg,butchering red meat while wearing white but not yellow,True,False,False,38.066,9,0,"A, Z","starts, ends",,,
718,359/0.jpg,butchering white meat while wearing yellow but not red,False,True,False,38.365,9,20,"Z, A","starts, ends",,,
45,22/1.jpg,The person with more facial hair sleeps while the other lies awake,True,True,True,41.510,3,3,"shadow, line",,,,
44,22/0.jpg,The person with more facial hair lies awake while the other sleeps,False,False,False,40.941,2,1,"line, shadow",,,,
427,213/1.jpg,more oil than water,True,True,True,40.440,5,16,"face, fear",,brave,,
426,213/0.jpg,more water than oil,False,False,False,40.306,4,11,"fear, face, brave",,,,
661,330/1.jpg,what is yellow will soon be green,True,True,True,44.196,5,13,strength,need,,,
660,330/0.jpg,what is green will soon be yellow,False,False,False,41.566,6,14,"back, strength",need,,,
332,166/0.jpg,a person on a rock next to a dog,True,True,True,34.730,7,0,"one, middle, ones, side",is,taller,,
333,166/1.jpg,a dog on a rock next to a person,False,False,False,34.547,7,11,"ones, side, one, middle","are, is",taller,,
109,54/1.jpg,someone is with a helicopter in a car,True,True,True,43.469,2,9,fish,flying,,,
108,54/0.jpg,someone is in a helicopter with a car,False,False,False,49.707,2,8,fishing,fly,,,
349,174/1.jpg,light bulb made out of a plant,True,False,False,38.801,6,9,"car, car",is,"red, blue",,
348,174/0.jpg,plant made out of a light bulb,False,True,False,38.612,6,13,"car, car",is,"blue, red",,
617,308/1.jpg,a shorter person is covering the eyes of a taller person,True,True,True,35.060,13,22,"driver, shirt, front, person, top","wearing, is, wearing","other, sleeveless",,
616,308/0.jpg,a taller person is covering the eyes of a shorter person,False,False,False,35.252,12,10,"driver, top, front, person, shirt","wearing, is, wearing","sleeveless, other",,
15,7/1.jpg,water is in a bottle,True,True,True,29.897,4,0,"object, wood","rolls, is",,,
